id,energy,key,mode,acousticness,instrumentalness,valence,cluster
1d7Ptw3qYcfpdLNL5REhtJ,0.9095186391603329,0.0,0.0,0.09436974767619559,0.0,0.8012232415902141,5
2plbrEY59IikOBgBGLjaoe,0.589817830860176,0.5454545454545454,0.0,0.30954612879097365,0.0,0.545361875637105,8
7ne4VBA60CxGM75vw0EYad,0.806973096875377,0.09090909090909091,1.0,0.2150735467041491,0.0,0.37920489296636084,0
5vNRhkKd0yEAg8suGBpjeY,0.7818393855310249,0.0,0.0,0.028439945709220142,0.0,0.9571865443425075,5
6dOtVTDdiauQNBQEDOtlAB,0.5043632122893794,0.18181818181818182,1.0,0.2010031621380263,0.06268041237113403,0.4464831804281345,0
0WbMK4wrZ1wFSty9F7FCgu,0.5797643463224352,1.0,0.0,0.05045004728051225,0.0,0.800203873598369,8
6MzofobZt2dm0Kf1hTThFz,0.5586520287931797,0.9090909090909092,1.0,0.49748626549561403,0.009917525773195877,0.8572884811416921,2
1Es7AUAhQvapIcoh3qMKDL,0.7205131298508062,1.0,0.0,0.05869127252638418,2.6391752577319593e-06,0.5810397553516818,3
5N3hjp1WNayUPZrA8kJmJP,0.5837857401375316,0.8181818181818182,1.0,0.27537519484467543,0.0,0.5902140672782874,2
3WOhcATHxK2SLNeP5W3v1v,0.665218964893232,0.6363636363636364,1.0,0.014671069383799971,0.30927835051546393,0.6299694189602446,2
0UYnhUfnUj5adChuAXvLUB,0.4128765029959383,1.0,1.0,0.6894465120762895,8.876288659793816e-05,0.3027522935779816,11
3QaPy1KgI7nu9FJEQUgn6h,0.24297261430811917,0.5454545454545454,0.0,0.6150744793696403,0.0002793814432989691,0.12844036697247704,6
2FQrifJ1N335Ljm3TjTVVf,0.7074435999517431,0.8181818181818182,1.0,0.06361590712452717,0.0,0.6156982670744138,2
4xdBrk0nFZaP54vvZj0yx7,0.7557003257328989,0.5454545454545454,1.0,0.018791682006735935,0.0,0.9755351681957185,2
19KlZwqlT3fguP2BeHF1Q1,0.9165560783367515,1.0,0.0,0.051555577496421895,0.0,0.5107033639143731,3
5G345YEhvleYxQLfYUlEFv,0.7858607793461213,0.4545454545454546,0.0,0.12663112943137717,0.0,0.6850152905198776,8
1f18HzFpegqvH4ibGJyeMJ,0.8049623999678288,0.09090909090909091,1.0,0.12160599208633331,0.0,0.5983690112130479,10
7hR22TOX3RorxJPcsz5Wbo,0.8421602927574696,0.4545454545454546,0.0,0.009525328742475058,0.00012164948453608248,0.7604485219164118,8
51rfRCiUSvxXlCSCfIztBy,0.40282301845819757,0.9090909090909092,1.0,0.6592956880060263,0.0,0.34454638124362896,11
7fzHQizxTqy8wTXwlrgPQQ,0.6973901154140024,0.09090909090909091,0.0,0.0986913657929333,0.00022164948453608249,0.944954128440367,5
0VaeksJaXy5R1nvcTMh3Xk,0.8170265814131177,0.2727272727272727,0.0,0.3618075571794298,0.0,0.3679918450560652,5
1BJJbSX6muJVF2AK7uH1x4,0.780834037077251,0.7272727272727273,0.0,0.05658071484146576,0.34639175257731963,0.6676860346585117,8
0xGQTpN4ESETtl1Sp6rzd2,0.6571761772630393,0.4545454545454546,0.0,0.041404800059433304,0.00020618556701030932,0.5158002038735984,5
0qeIFEGRQqHoaJtLCl0U73,0.7074435999517431,0.5454545454545454,0.0,0.05034954453361137,0.0,0.7257900101936798,8
2qSkIjg1o9h3YT9RAgYN75,0.7587163710942212,0.0,1.0,0.1075356075202105,6.742268041237115e-05,0.7033639143730885,10
